nivel,p3_1,p4,edad,p32,p34_4,p34_4_1,factor
8,1,3,36,0,1,1,9241
3,2,0,38,2,2,0,15310
3,2,0,28,0,2,0,15310
2,1,1,48,0,3,0,15310
0,0,0,89,0,0,0,22966
4,2,0,36,0,1,1,19556
3,2,0,46,1,1,1,32593
4,2,0,41,0,2,0,19556
4,2,0,50,1,1,1,13037
7,1,8,40,0,1,6,8695
7,1,2,30,0,3,0,43474
3,1,1,45,0,2,0,17390
3,2,0,79,4,2,0,18563
3,2,0,35,0,2,0,55690
3,2,0,60,0,1,1,37127
7,1,8,29,0,1,2,21029
4,1,3,78,0,1,2,10515
7,1,20,67,0,2,0,21029
7,1,2,76,0,1,1,21029
4,1,2,42,0,1,1,24165
7,2,0,65,1,2,0,16110
4,2,0,53,1,2,0,8055
3,1,2,33,0,1,1,22380
3,0,0,27,0,0,0,11190
2,2,0,40,3,2,0,22380
4,2,0,24,3,1,1,55950
0,0,0,71,0,0,0,15943
2,2,0,38,0,1,1,23916
4,2,0,51,0,1,2,39860
6,1,2,33,0,1,1,18712
3,1,1,59,0,2,0,28068
7,1,3,23,0,1,2,28068
2,2,0,63,3,2,0,13892
4,1,20,53,0,1,2,6946
7,1,1,34,0,1,1,27784
3,1,2,48,0,1,2,20838
7,2,0,28,3,2,0,20391
7,1,4,47,0,2,0,10196
7,2,0,40,3,2,0,30587
4,2,0,38,0,1,1,21487
4,2,0,41,0,1,1,28649
7,2,0,54,0,1,3,21487
6,2,0,71,1,2,0,7930
3,1,2,26,0,1,1,15859
3,1,3,52,0,1,1,23789
3,2,0,38,3,1,2,23789
2,1,2,65,0,1,1,19833
2,2,0,53,0,1,1,29749
6,2,0,38,3,2,0,29749
6,2,0,50,1,2,0,15969
3,2,0,31,1,2,0,39925
4,2,0,43,0,2,0,47909
3,2,0,56,0,1,1,15969
4,2,0,33,1,1,1,16949
3,2,0,50,1,1,1,8475
2,1,1,62,0,2,0,27119
2,2,0,52,0,1,1,9040
3,2,0,73,0,2,0,25424
2,1,1,85,0,1,1,8475
7,1,2,45,0,2,0,20230
2,2,0,76,5,2,0,20230
9,1,3,54,0,1,3,20230
7,1,2,55,0,1,2,20230
2,2,0,86,1,1,1,8590
7,1,2,44,0,1,2,17180
7,1,1,32,0,1,1,34361
2,1,1,54,0,1,1,34361
4,1,6,50,0,1,4,32690
